Episode,Total Reward,Agent 0 Reward,Agent 1 Reward,Agent 2 Reward,Agent 3 Reward,Agent 4 Reward,Agent 5 Reward,Agent 6 Reward,Agent 7 Reward
408,[681.97709393],[88.49088473],[128.05851618],[103.20054748],[92.71059307],[54.28713511],[0.],[90.60703591],[124.62238145]
409,[251.12774825],[41.47319639],[24.80521849],[62.46413032],[27.92131955],[38.39798837],[-9.37118],[39.73113958],[25.70593555]
410,[609.38996658],[67.06082351],[109.16931968],[83.24911472],[42.89091842],[41.39372716],[0.],[107.92636076],[157.69970232]
411,[651.48079226],[134.48469188],[114.22602105],[109.84756919],[43.59937116],[85.94157509],[0.],[79.69937426],[83.68218964]
412,[635.6326546],[66.06650274],[87.89877844],[115.13185244],[95.89542696],[59.11248225],[0.],[78.88853898],[132.63907278]
413,[638.84549748],[121.63002541],[95.74493501],[79.45009368],[24.73925952],[104.02560567],[0.],[88.85521115],[124.40036704]
414,[-1734.70555672],[-243.46829711],[-243.20653325],[-203.25294652],[-228.01741545],[-179.76909458],[-296.87143761],[-190.2305948],[-149.88923739]
415,[-909.35884655],[-90.53782676],[-144.21444285],[-127.69179211],[-97.4122258],[-123.27187053],[-183.23256559],[-83.48504321],[-59.51307969]
416,[610.72840348],[67.23148622],[69.5233112],[115.83360748],[93.50311175],[65.86183384],[-0.0101342],[112.4925498],[86.29263739]
417,[580.97668859],[130.12714488],[72.83330088],[35.47313509],[119.65370561],[29.77728369],[0.],[109.31744866],[83.79466979]
418,[681.78090464],[93.32538608],[69.51526108],[133.07271088],[102.33368465],[90.5816197],[0.],[83.72289244],[109.22934981]
419,[668.52715951],[68.81891357],[63.23509853],[89.30801613],[133.04282977],[117.30878267],[0.],[112.25232255],[84.56119629]
420,[609.66789082],[95.49053033],[57.93342398],[156.17110264],[72.65823928],[96.88403169],[0.],[24.15313958],[106.37742331]
421,[203.55530649],[45.51470485],[46.34574679],[57.45152919],[38.41900221],[2.77809703],[-54.53521458],[50.24864608],[17.33279491]
422,[150.85475692],[24.63827393],[14.23975255],[32.51249615],[30.90969952],[16.73122273],[-12.2516558],[10.67892389],[33.39604395]
423,[-68.4930826],[-6.45837307],[-5.52775089],[-9.04652378],[-9.03397322],[-9.9657852],[-17.81162022],[-9.87403378],[-0.77502243]
424,[402.59566896],[58.69411701],[59.06520571],[45.89236497],[68.34122665],[59.64474209],[-16.07493211],[50.62353954],[76.40940509]
425,[-857.07962084],[-105.44931928],[-138.53730529],[-61.24335212],[-73.86949599],[-82.93740531],[-181.7359469],[-115.35399183],[-97.95280412]
426,[529.67765462],[76.50481411],[103.98934632],[114.64102109],[44.89721315],[82.25029218],[-9.4535115],[62.00809836],[54.8403809]
427,[-1255.58967188],[-168.27976303],[-147.72689805],[-162.95064434],[-95.15734244],[-138.92864133],[-221.4275056],[-157.98444357],[-163.13443352]
428,[544.81129761],[104.87808802],[48.13553351],[75.28215261],[70.48837072],[116.13795836],[-5.27552822],[79.5293527],[55.6353699]
429,[518.40078417],[59.43717428],[84.27314582],[123.29682718],[66.89220447],[66.48733062],[-10.95041181],[90.72967414],[38.23483948]
430,[686.41592731],[108.22423517],[44.47918429],[150.33208689],[87.63634949],[79.73824562],[0.],[97.84481583],[118.16101001]
431,[563.21348384],[127.6433594],[74.54155118],[79.5839952],[54.67122199],[78.08877423],[-7.55037214],[56.22648819],[100.00846579]
432,[677.62250853],[111.91633171],[111.97135882],[123.37727698],[61.35502536],[68.26493499],[0.],[58.05382532],[142.68375536]
433,[661.83907966],[76.28991196],[69.31401612],[76.12404418],[108.97036034],[48.55921373],[0.],[118.66892128],[163.91261205]
434,[-497.48042008],[-29.72264347],[-77.512059],[-30.83209861],[-43.14270008],[-50.74280135],[-143.73055917],[-40.93440198],[-80.86315641]
435,[640.89049898],[90.55042248],[38.71056702],[81.5150755],[81.43685712],[89.43281043],[0.],[160.65959702],[98.58516941]
436,[581.51620783],[47.37865078],[61.44054582],[107.83406841],[50.11978196],[86.93579898],[0.],[58.76538264],[169.04197924]
437,[677.19460021],[144.5215275],[104.0070646],[73.55034663],[79.01694115],[62.8449107],[-8.0967532e-05],[138.32780107],[74.92608953]
438,[695.94469304],[108.62313652],[95.26911635],[140.74467486],[53.08328224],[113.11471991],[0.],[103.91436011],[81.19540305]
439,[620.56740895],[106.24258119],[113.20174211],[86.76920994],[68.18523198],[86.03720709],[-0.00106588],[65.73157938],[94.40092314]
440,[685.68760239],[94.59877937],[59.26604967],[119.83339981],[142.04097162],[86.52132236],[0.],[86.06972289],[97.35735667]
441,[573.5075198],[113.57875255],[64.03445829],[93.09877382],[90.06498376],[77.68585471],[-2.],[83.48540258],[53.55929409]
442,[643.99904881],[195.78711105],[67.42639271],[116.62757625],[69.87492809],[90.70510483],[0.],[55.92643056],[47.65150531]
443,[582.72765535],[77.64076397],[70.42505541],[98.89625965],[71.48176159],[81.21211606],[0.],[71.07475556],[111.9969431]
444,[618.02477677],[72.88293516],[73.85062815],[118.65888658],[40.01439531],[108.97203326],[0.],[124.29461797],[79.35128035]
445,[621.76573823],[100.4576795],[59.15636263],[124.63487125],[99.04311625],[45.09463079],[0.],[85.12063282],[108.25844498]
446,[522.58357863],[133.11892716],[69.49679574],[47.24438935],[53.82603575],[59.87489185],[-15.19126369],[107.51819272],[66.69560975]
447,[568.39489029],[111.8054613],[106.89541274],[76.42600848],[77.75936801],[45.40490464],[0.],[77.24553039],[72.85820472]
448,[537.46479056],[99.59463538],[58.56398313],[28.9859399],[55.29294143],[84.10212814],[0.],[46.9165956],[164.00856699]
449,[-160.4030066],[-30.44035669],[17.68681898],[31.14323028],[-40.81613925],[-24.61499873],[-100.05482948],[-29.99600636],[16.68927465]
450,[597.32433397],[133.24693011],[96.79000064],[89.33799943],[70.34346073],[86.94297219],[-1.62],[46.59678542],[75.68618544]
451,[-285.01397793],[-0.57526402],[-38.90082913],[-42.45243044],[35.25192374],[-49.76472087],[-115.62330421],[-66.42540149],[-6.52395153]
452,[172.12975232],[-11.69075306],[18.95494936],[56.86963277],[-15.12078195],[32.95375971],[-59.36136263],[76.79029947],[72.73400864]
453,[667.18216296],[106.31887133],[100.91098971],[93.57764715],[83.91089581],[51.53792258],[-0.08194371],[120.44111745],[110.56666265]
454,[620.04750363],[140.11096144],[107.58254365],[73.43570598],[70.59837196],[56.54865305],[0.],[89.15947],[82.61179755]
455,[34.47493629],[14.0033652],[10.08277181],[5.19821141],[5.28935228],[11.44308819],[-15.42822597],[-0.26355604],[4.14992941]
456,[675.53290869],[117.27936106],[85.45382795],[129.29582759],[85.08910909],[114.04515603],[0.],[65.13195075],[79.23767622]
457,[123.77393633],[-18.7241405],[-10.10644694],[38.48011428],[6.80009799],[43.98464433],[-59.27291781],[61.37812522],[61.23445976]
458,[610.4898135],[107.04262877],[88.51349864],[127.5234998],[83.23419755],[76.7563789],[-0.00039306],[55.17110046],[72.24890244]
459,[551.77787196],[114.55400082],[53.61218339],[45.99571594],[48.17980467],[126.11800071],[-12.22087964],[55.33629022],[120.20275585]
460,[-1363.19646297],[-155.75637324],[-171.50748536],[-201.65409716],[-184.86553722],[-151.21254439],[-243.37816601],[-125.96920147],[-128.85305812]
461,[-72.54782501],[-6.42512397],[-11.34451936],[-4.22186858],[-7.00869416],[-8.5186896],[-18.0304582],[-9.98578119],[-7.01268996]
462,[637.99533534],[91.23014016],[121.20758724],[67.10635822],[83.85174382],[77.18332916],[0.],[60.95044318],[136.46573356]
463,[564.23705758],[84.42692843],[71.95086124],[74.36458848],[66.11035212],[105.27697927],[-1.8],[26.05623665],[137.85111139]
464,[-1403.37310896],[-114.45497188],[-198.48439074],[-190.23298279],[-192.92268234],[-140.83734685],[-240.67076924],[-190.64654273],[-135.12342238]
465,[-541.81266103],[-56.84835965],[-98.17413049],[-53.54856057],[-41.91602749],[-90.93267247],[-145.96444856],[-0.4121199],[-54.01634189]
466,[601.52778508],[70.62736382],[61.38700127],[133.80647849],[118.29411823],[31.27877625],[-10.17134628],[95.74215397],[100.56323933]
467,[545.61854968],[59.5009477],[87.12537061],[77.16702507],[120.38392592],[87.78939091],[-9.44501237],[70.1955155],[52.90138634]
468,[571.06115151],[102.88162871],[87.40640883],[54.91655692],[60.75056003],[88.90789087],[0.],[84.37602785],[91.82207831]
469,[701.31944149],[105.77484672],[52.97214087],[97.61357791],[86.72023909],[80.6701521],[0.],[168.74695734],[108.82152746]
470,[649.20497064],[91.50816398],[102.35347881],[114.5311732],[56.68676248],[104.87560057],[0.],[105.6039749],[73.6458167]
471,[572.61483642],[69.11204796],[60.76450698],[99.81260141],[126.8784323],[74.37320282],[0.],[63.81532381],[77.85872114]
472,[661.95570281],[89.30101003],[129.79434271],[43.85915466],[59.46389326],[83.82835025],[0.],[141.45981379],[114.24913811]
473,[691.95319878],[131.97776561],[128.77211849],[141.41695783],[53.06659261],[81.98705882],[0.],[62.72672289],[92.00598254]
474,[569.05745779],[48.82944902],[130.47248093],[99.99211631],[59.22297773],[64.56855574],[0.],[97.63723275],[68.33464532]
475,[-990.33146729],[-137.89695589],[-125.36076248],[-74.82545759],[-126.42298229],[-151.54018608],[-192.02651463],[-93.33512427],[-88.92348406]
476,[632.98042207],[97.42955104],[59.81763577],[119.0133977],[107.77424857],[88.52159013],[-0.00140545],[58.88813356],[101.53727076]
477,[624.98006734],[71.55306466],[73.19088393],[61.37705707],[113.2580212],[75.48585125],[0.],[124.75127153],[105.36391771]
478,[95.74465641],[19.04923405],[8.53297756],[13.42655613],[-7.57917759],[65.45129061],[-29.05967186],[-2.1458903],[28.06933781]
479,[172.4436877],[31.844543],[-16.09980489],[30.18189883],[-1.14455822],[44.01782528],[-62.33488837],[63.1354022],[82.84326986]
480,[659.90217945],[69.46778333],[75.61002125],[134.53482367],[79.79733444],[102.65482896],[-0.01900667],[123.32096456],[74.53542992]
481,[677.98461859],[107.66165044],[105.68275868],[66.19825954],[71.5560402],[114.62235093],[0.],[111.68858393],[100.57497486]
482,[573.85998245],[70.99989264],[74.09237355],[64.1091843],[66.19793951],[57.61291703],[0.],[137.17774351],[103.66993191]
483,[612.24000282],[73.80552418],[58.30085578],[63.4041656],[104.26995649],[87.53045441],[-0.01436382],[95.61421353],[129.32919664]
484,[658.40951891],[81.9648618],[92.0883356],[77.53452813],[114.15569621],[42.1406544],[0.],[138.79907605],[111.72636672]
485,[399.64588851],[44.14834789],[41.10638164],[50.38207661],[69.08268787],[81.05744487],[-5.42],[101.19922832],[18.08972132]
486,[355.39429499],[78.30349976],[44.54931569],[54.05739457],[49.47147437],[25.14330687],[-28.8937854],[98.76810026],[33.99498886]
487,[589.77165165],[80.71993108],[30.09555707],[114.27079632],[64.56571676],[112.16117816],[-1.43453836],[123.79072657],[65.60228405]
488,[694.33468319],[132.93959792],[97.3838515],[63.18967319],[57.20181578],[126.28950395],[0.],[110.47599995],[106.8542409]
489,[587.53854525],[118.74516597],[63.33603117],[104.94551762],[33.84591202],[96.34597893],[0.],[113.95414514],[56.36579439]
490,[563.3732899],[87.34955026],[98.65820945],[92.68216222],[43.48706187],[76.81682027],[-1.76023888],[65.02569294],[101.11403178]
491,[-115.22182365],[-14.28953052],[-10.57090359],[-13.45395075],[-15.72383087],[-13.26316461],[-18.83700526],[-17.242756],[-11.84068205]
492,[565.68875054],[58.5061503],[91.12698861],[102.89645149],[35.77154822],[79.68094969],[0.],[111.05729235],[86.64936988]
493,[623.07118267],[65.7631444],[92.36930859],[121.13194721],[104.48307836],[46.89999425],[0.],[101.35672659],[91.06698327]
494,[616.034739],[89.36494448],[79.48302617],[56.77274835],[101.78071977],[58.37868023],[-6.46109966],[106.52927205],[130.18644762]
495,[657.90061995],[115.02581794],[81.20765933],[96.13161176],[60.3559874],[120.03472975],[0.],[67.06898108],[118.07583269]
496,[634.09718136],[33.75209907],[144.60660746],[112.91178074],[63.79949796],[73.7326766],[0.],[106.55874812],[98.73577141]
497,[-821.3846166],[-88.16846842],[-99.72331885],[-121.13352935],[-104.51607494],[-78.5726171],[-176.85040061],[-63.33635683],[-89.08385051]
498,[-999.32515319],[-101.6100254],[-128.95592379],[-130.37898886],[-77.22207596],[-123.44128978],[-201.90083024],[-141.16970657],[-94.64631259]
499,[588.33603635],[56.80027287],[71.30089551],[94.92480504],[45.96667281],[94.83406793],[-0.77236868],[115.07297609],[110.20871479]
500,[305.14582132],[64.57125048],[42.64453227],[93.55905068],[50.37646811],[24.57045086],[-30.24072159],[30.92007661],[28.74471389]
501,[596.69694262],[121.04943687],[67.83228618],[72.29933341],[37.8946203],[63.67529126],[-3.52398226],[116.62055063],[120.84940623]
502,[671.04920531],[75.43319965],[88.32058102],[113.06572754],[108.82471385],[72.20347321],[0.],[130.66732426],[82.53418577]
503,[598.38736852],[86.52258963],[109.15367342],[77.59474477],[96.69573307],[61.94845486],[0.],[95.98085244],[70.49132031]
504,[628.35215742],[66.39525541],[62.7829999],[145.74974386],[82.20260462],[94.12627229],[-0.00101177],[79.8732678],[97.22302531]
505,[640.0310579],[117.57016077],[117.6575909],[96.99225742],[58.32835599],[36.38432374],[0.],[145.16970704],[67.92866204]
506,[667.76760866],[138.78661519],[71.39735439],[89.2740261],[77.76357546],[72.71057353],[0.],[96.06236316],[121.77310084]
507,[382.44751761],[118.99642497],[43.59579677],[72.27109584],[57.82417617],[36.29324119],[-38.55372287],[30.51580239],[61.50470316]
508,[636.43046993],[35.97752472],[122.396005],[66.75365663],[142.20006181],[49.76667692],[0.],[69.42238911],[149.91415575]
509,[614.46755036],[82.24866311],[81.95395102],[80.14646003],[102.184971],[59.86134124],[0.],[109.0085838],[99.06358017]
510,[286.89741045],[48.07512098],[42.47814872],[59.40683431],[55.08802486],[28.31228218],[-38.0900818],[65.72088395],[25.90619725]
511,[676.35556474],[111.27489277],[82.51467668],[71.67549686],[45.59071453],[132.24050324],[0.],[102.08874919],[130.97053146]
512,[333.29648676],[52.89996674],[30.10966704],[48.23871425],[15.84517441],[55.48102249],[-6.878],[63.01502577],[74.58491605]
513,[435.34918666],[84.44562733],[59.35798616],[84.00814127],[67.3504721],[35.56108761],[-3.8],[81.74886851],[26.67700368]
514,[548.73880717],[67.6743924],[79.92084531],[71.61621245],[80.87635012],[74.97376913],[0.],[93.79012784],[79.88710992]
515,[549.88118453],[96.19951588],[77.45576613],[61.73214516],[63.90583073],[116.05221732],[-8.40232304],[59.60784048],[83.33019188]
516,[605.48990343],[86.73330059],[53.56620658],[130.49253853],[82.17349934],[46.57449692],[0.],[94.91352612],[111.03633536]
517,[625.30317559],[110.50812742],[79.12294943],[100.52408524],[34.88330715],[145.83030584],[-0.36508401],[56.19893884],[98.60054566]
518,[594.16606218],[52.47324458],[114.23964613],[83.29720696],[90.26557256],[79.01687508],[0.],[88.21498616],[86.65853071]
519,[656.22113447],[78.68780112],[76.24912724],[75.22833687],[118.55600309],[95.35327457],[-0.00030895],[93.36954261],[118.77735792]
520,[646.99686436],[62.55023008],[104.84610249],[81.06544645],[117.91382768],[76.82224808],[-0.00241546],[104.52358371],[99.27784132]
521,[487.83526281],[97.90649048],[43.80911917],[73.57957517],[74.24724786],[64.56239821],[-2.25113544],[82.73216842],[53.24939895]
522,[636.32420226],[71.49101943],[73.61987019],[120.79878394],[47.81141324],[85.56605656],[-0.19058029],[115.84276331],[121.38487588]
523,[633.16561829],[110.74426041],[90.50127633],[76.61676911],[66.1456964],[62.61192187],[0.],[101.90489292],[124.64080125]
524,[589.54081417],[93.71062513],[104.089883],[94.7549598],[66.056383],[76.73475372],[0.],[51.83204296],[102.36216656]
525,[632.99910674],[105.83305212],[108.04949616],[66.70577816],[83.34023484],[87.02414535],[0.],[52.35096381],[129.6954363]
526,[674.19708059],[107.02865468],[63.50440252],[106.40944305],[39.6928519],[120.21036631],[0.],[129.1168482],[108.23451395]
527,[680.30355001],[67.13044971],[105.17705759],[77.56865826],[146.92261897],[56.61533771],[-0.04830612],[109.03946467],[117.89826922]
528,[663.8767036],[102.14774061],[132.24119052],[89.73906299],[111.49109429],[43.77781802],[0.],[121.44953655],[63.03026063]
529,[489.57735558],[74.48893033],[73.84932842],[40.76597742],[92.35375492],[69.27850967],[-14.1505268],[57.84148981],[95.14989182]
530,[581.5023673],[88.44543438],[77.89587796],[99.04502553],[75.69355741],[61.56632844],[0.],[76.32951537],[102.52662821]
531,[637.1370822],[101.87012551],[108.73693576],[105.78861753],[62.94984678],[78.98835458],[0.],[132.05072996],[46.75247208]
532,[537.47286493],[64.2105513],[150.54757326],[54.04442458],[49.41001055],[80.30848308],[-6.77182782],[41.06322174],[104.66042825]
533,[165.4647193],[25.28425068],[28.44061797],[31.90671468],[5.26614588],[32.50951629],[-16.06907494],[28.87906867],[29.24748006]
534,[561.27259248],[139.24573659],[114.6195727],[91.22031678],[42.31191174],[103.85711909],[-14.02024783],[22.50525467],[61.53292874]
535,[65.90312149],[47.52640072],[-0.84126517],[8.09237238],[7.31872798],[8.67474967],[-71.84458308],[18.41260316],[48.56411583]
536,[612.50592748],[119.03293515],[119.31113163],[91.18484181],[72.7363552],[74.69502142],[-1.45749258],[77.55650319],[59.44663166]
537,[593.51332355],[94.57261668],[122.91410711],[94.42158601],[44.84586877],[49.50766173],[0.],[109.45017856],[77.80130469]
538,[603.7187901],[147.02448101],[125.67473102],[70.11760826],[60.74386058],[52.26061738],[0.],[31.13153236],[116.76595947]
539,[604.52886438],[113.91616202],[77.65847097],[156.52967393],[61.79319376],[89.77983133],[0.],[44.78221573],[60.06931663]
540,[627.31787655],[68.95231595],[95.86864754],[84.21223772],[71.99191665],[77.84343131],[0.],[154.78975369],[73.65957368]
541,[559.88452646],[115.83097912],[68.09320172],[94.53061794],[52.67788361],[64.03682974],[-5.09208968],[72.27434896],[97.53275504]
542,[588.57356879],[112.20755669],[97.19802953],[104.81822303],[41.83944768],[71.66673558],[0.],[76.18216482],[84.66141146]
543,[590.98636089],[138.09136076],[43.99244169],[102.41094775],[85.15196835],[59.9347857],[-6.65133856],[69.03866026],[99.01753495]
544,[628.50421374],[93.24842239],[51.36807651],[101.63141106],[29.10687537],[107.55372657],[0.],[157.37141666],[88.22428518]
545,[592.22400812],[67.76579405],[85.64637084],[101.79228231],[47.34148092],[59.65413613],[0.],[163.00345344],[67.02049043]
546,[646.65020428],[73.93378906],[98.73729472],[100.84518951],[60.18708974],[65.56137332],[0.],[89.62752283],[157.75794509]
547,[36.74153134],[15.47667276],[36.21496302],[-26.57993412],[35.24420631],[19.43894995],[-68.83768401],[4.6304659],[21.15389153]
548,[-137.96702332],[-16.8906762],[-16.47253691],[-16.13381186],[-17.67386674],[-16.75667809],[-19.4993689],[-17.5350198],[-17.00506481]
549,[642.64242702],[107.38133616],[67.36311592],[98.12934035],[84.56233818],[96.46367371],[0.],[100.39586002],[88.34676269]
550,[553.51893808],[94.37718207],[72.2562634],[106.15527878],[95.14327832],[61.69748138],[-3.21688916],[102.85758341],[24.24875988]
551,[580.97840816],[102.42007861],[103.73119994],[64.59595447],[88.56918853],[63.1274481],[-3.1122],[62.46875181],[99.1779867]
552,[673.8222899],[81.90452032],[120.12792432],[144.61600579],[57.58830646],[75.87407043],[-0.02843563],[87.91615086],[105.82374735]
553,[-96.36907913],[-13.10043535],[-11.17556417],[-9.60271154],[-11.04158898],[-11.40105907],[-18.40467114],[-12.33686325],[-9.30618563]
554,[-1699.51267746],[-188.70169284],[-166.60309315],[-162.486626],[-199.64873946],[-242.42013836],[-284.41256172],[-212.08170636],[-243.15811957]
555,[652.9085266],[86.0763525],[74.66872045],[131.5360086],[65.44020442],[96.26664373],[0.],[101.38885886],[97.53173805]
556,[-82.95820242],[-8.75959549],[-13.24554507],[-4.55298187],[-12.07983034],[-6.91595184],[-18.0304582],[-12.00652009],[-7.36731952]
557,[-57.07596611],[-2.06948106],[-6.26133706],[-3.88297558],[-4.90168752],[-4.98282033],[-19.00803303],[-6.25772658],[-9.71190495]
558,[573.25912787],[99.29354094],[47.49123055],[100.85552142],[103.1698614],[80.20307716],[-5.20410912],[49.65476383],[97.79524169]
559,[376.98101186],[102.94815186],[51.71321681],[69.24092849],[1.57808624],[76.31769677],[-27.35884394],[79.58110547],[22.96067016]
560,[621.44783824],[62.26130909],[62.78708928],[93.20631535],[70.69059963],[103.29246901],[0.],[145.7112867],[83.49876917]
561,[-18.93363361],[-7.23004329],[1.15638102],[-1.72146432],[-4.62902141],[1.00756856],[-16.85795129],[2.42692297],[6.91397416]
562,[328.51279694],[93.68303704],[80.08430515],[80.95116878],[7.04651815],[32.27005455],[-42.87454019],[13.52143773],[63.83081573]
563,[598.98393658],[43.15417855],[116.90061109],[71.53825131],[104.83679356],[92.94064223],[-1.89780698],[94.44574944],[77.06551737]
564,[51.21741023],[8.29092943],[11.83202004],[13.69129778],[4.07337875],[20.25139834],[-14.91626834],[4.58250353],[3.4121507]
565,[622.84010564],[31.05470582],[128.09391592],[140.52662408],[64.060224],[76.43105484],[-6.71971296],[66.08129298],[123.31200097]
566,[597.62013779],[59.23430395],[90.01111394],[125.37929542],[98.87106882],[60.60900661],[-7.61533618],[72.08229149],[99.04839372]
567,[624.48377087],[104.31415181],[58.45551952],[138.250619],[62.74394121],[85.22352397],[0.],[104.93980498],[70.55621039]
568,[428.31119927],[62.71492112],[54.360156],[68.86972182],[86.1986692],[40.55150389],[-24.98746551],[64.02904306],[76.57464968]
569,[-1502.09760391],[-183.26006375],[-204.81033029],[-199.61870993],[-134.83678417],[-185.58925967],[-266.2573717],[-157.31012249],[-170.41496192]
570,[511.55474855],[108.10220274],[70.42336576],[69.10199321],[99.72457835],[25.31714198],[-15.30450826],[65.54474929],[88.64522548]
571,[653.49649322],[104.75486046],[103.21895198],[77.36814181],[78.88353963],[67.12800691],[0.],[113.81157504],[108.33141739]
572,[641.73327665],[61.50936936],[85.89189268],[132.08747512],[34.48291819],[84.37207857],[0.],[111.37467157],[132.01487115]
573,[12.65595291],[30.02629375],[12.26353616],[10.82273873],[-13.51547527],[40.33201049],[-84.57735685],[-20.75943006],[38.06363594]
574,[380.92045392],[22.85497502],[46.56775505],[14.82061211],[135.12737679],[68.22418792],[-26.96226867],[55.08876402],[65.19905168]
575,[290.91853112],[68.01234545],[30.76219913],[21.20564319],[41.77847479],[64.74334047],[-9.37139942],[32.18538855],[41.60253895]
576,[661.57642663],[108.05851152],[76.02657962],[90.23308478],[134.70046862],[62.25062325],[-3.42530747],[94.70914016],[99.02332614]
577,[417.9506861],[61.10628478],[81.13691716],[71.25871479],[19.59025987],[44.44778029],[-13.74010828],[78.11645764],[76.03437984]
578,[554.33241523],[75.13249444],[50.81732404],[33.42642252],[127.11874382],[66.58020833],[-8.0967532e-05],[123.83338601],[77.42391705]
579,[567.19268982],[44.29663427],[54.95151928],[129.69765135],[53.99919818],[109.67713096],[-7.83508406],[79.87307022],[102.53256962]
580,[-134.55723877],[-15.53897491],[-16.4215182],[-18.27324835],[-15.62821664],[-16.01518269],[-19.49948765],[-16.06689368],[-17.11371665]
581,[666.0986873],[63.27407665],[65.6537617],[160.26101476],[146.3965946],[35.21579718],[0.],[80.67934388],[114.61809853]
582,[600.62186177],[42.33591325],[116.21811629],[107.71804624],[81.97841158],[83.64524483],[0.],[59.12347994],[109.60264965]
583,[-153.62301108],[-18.97204347],[-19.21815731],[-19.02719889],[-19.34065631],[-18.9377415],[-19.84289666],[-19.22529278],[-19.05902415]
584,[611.35968568],[78.42831591],[72.73756962],[157.83497227],[106.98412106],[40.38487788],[0.],[84.13112821],[70.85870074]
585,[694.41754128],[106.71640766],[59.70759686],[135.0925493],[89.77956389],[96.19967203],[0.],[95.88909777],[111.03265376]
586,[602.85524677],[100.32825084],[53.93716629],[92.48935388],[77.7173966],[105.9134169],[-0.01488226],[83.81829376],[88.66625076]
587,[528.41531635],[54.82256577],[77.95739485],[88.71965336],[83.18062698],[66.61377324],[0.],[95.68083295],[61.4404692]
588,[657.27862824],[118.69586166],[71.76638702],[94.85907972],[133.40739002],[25.40713254],[0.],[115.23293962],[97.90983766]
589,[683.38431655],[141.94511463],[85.18518126],[94.37477068],[99.10756147],[46.28630795],[-0.0133033],[78.99762124],[137.50106261]
590,[660.9502591],[89.10021531],[109.4564087],[75.27883678],[64.75521075],[185.21427896],[0.],[60.10122258],[77.04408602]
591,[648.86011002],[114.84200745],[66.73442708],[97.21528275],[87.33692084],[47.04979537],[-0.00385043],[126.21649857],[109.46902838]
592,[40.09859215],[23.42144918],[-2.13206077],[43.82657873],[-34.55618367],[33.67927524],[-70.17564327],[-8.6264591],[54.6616358]
593,[513.52861092],[58.31960266],[93.20157596],[17.59356854],[132.5566654],[69.54697813],[-10.00326449],[107.43284065],[44.88064407]
594,[646.62622549],[95.36772043],[115.83025771],[85.74403283],[72.47958866],[92.39010341],[0.],[78.51573712],[106.29878533]
595,[656.06065376],[103.88486886],[39.30099891],[162.59282637],[58.41161925],[94.04650407],[0.],[105.75446005],[92.06937624]
596,[-462.46484609],[-41.38665597],[-91.05069133],[-40.02973606],[-41.66750881],[-36.95922035],[-130.30966376],[-47.9674701],[-33.09389971]
597,[558.81588172],[27.68471802],[110.38632977],[110.23696279],[65.70372343],[71.21046138],[0.],[54.56957206],[119.02411427]
598,[657.28523038],[118.92739838],[119.30355313],[142.08559357],[48.47094211],[69.1154357],[0.],[109.44382176],[49.93848573]
599,[676.34614469],[121.54314695],[78.1133156],[79.67796575],[94.11848351],[123.27306054],[0.],[105.4237113],[74.19646104]
600,[-988.77610836],[-145.9072591],[-111.36881048],[-55.8063971],[-119.08979456],[-129.93368175],[-188.90096983],[-148.9558623],[-88.81333324]
601,[564.52984969],[64.28948782],[89.50753702],[78.71864058],[114.94370034],[111.48091552],[0.],[31.64720912],[73.94235929]
602,[579.18809858],[76.15520526],[73.43462593],[64.51828023],[77.46192592],[80.35280524],[0.],[108.98793928],[98.27731673]
603,[594.24484131],[95.72583377],[38.18055384],[101.78101893],[165.41978297],[65.6980321],[-8.0404885],[50.3875321],[85.09257612]
604,[-33.08913956],[7.67522649],[3.76442274],[35.31093686],[-18.63546863],[22.35353213],[-69.10605591],[0.61183307],[-15.06356631]
605,[621.67723943],[71.55465865],[70.69146956],[124.61586303],[45.05961537],[114.17253968],[-0.00023995],[69.05910496],[126.52422813]
606,[508.07679284],[77.76179391],[74.30692919],[104.47255024],[62.48367941],[67.57564382],[-11.53632696],[58.4575508],[74.55497244]
607,[560.94798053],[149.85860651],[59.75848999],[90.6922033],[56.68348303],[120.65854499],[-1.07910849],[52.15335427],[32.22240693]
608,[630.49421142],[62.09481214],[110.97348296],[146.97592905],[65.70525469],[56.00015371],[-0.10454609],[106.97926271],[81.86986226]
609,[522.596394],[107.44108108],[55.50959172],[18.15816083],[147.81647389],[75.10228771],[-12.81142197],[80.94643347],[50.43378727]
610,[309.52415122],[85.33981467],[21.40162079],[42.46959356],[43.20513141],[44.53971405],[-8.1902],[49.31503411],[31.44344262]
611,[604.36862172],[80.12360946],[93.19168229],[86.03971687],[87.5932445],[78.25422156],[0.],[103.25696365],[75.90918338]
612,[636.22551859],[101.10241393],[53.97396789],[94.92286076],[67.27943026],[85.44765797],[0.],[124.7741509],[108.72503688]
613,[410.88197278],[60.82865441],[87.24074726],[52.92493999],[58.20669127],[47.29988139],[-5.42],[74.78456318],[35.01649529]
614,[633.97341834],[101.27386798],[69.6669541],[62.94138216],[114.7592958],[114.3262664],[0.],[83.89831182],[87.10734008]
615,[625.63453731],[91.89912305],[109.28185912],[77.16834852],[85.25785546],[58.48034386],[0.],[99.82246366],[103.72454363]
616,[662.49206919],[86.35229894],[98.8141282],[86.63992962],[143.261949],[61.39679512],[-1.18109321],[118.24405938],[68.96400214]
617,[664.23118269],[84.31440979],[61.79991867],[134.52719714],[76.02385812],[89.62774077],[0.],[110.30608027],[107.63197792]
