Episode,Total Reward,Agent 0 Reward,Agent 1 Reward,Agent 2 Reward,Agent 3 Reward,Agent 4 Reward,Agent 5 Reward,Agent 6 Reward,Agent 7 Reward
63,[593.32851121],[67.3360309],[75.87247427],[70.85099032],[78.67388763],[110.90959862],[1.83859282],[58.68659542],[129.16034124]
64,[237.96802696],[47.52311027],[27.42240588],[9.79631555],[47.50144062],[44.16927154],[-42.60608836],[93.00496047],[11.15661099]
65,[519.67416334],[114.07516414],[97.87465538],[43.324144],[24.88114325],[113.59762827],[-3.286088],[56.16408617],[73.04343013]
66,[457.77101259],[57.63709261],[63.90104557],[91.81027761],[62.16270983],[40.26384041],[-13.81266243],[91.40817492],[64.40053408]
67,[536.17898037],[95.60244252],[86.56114805],[53.15132772],[70.34185366],[51.22605438],[3.24387784],[113.72380051],[62.32847569]
68,[566.77522067],[73.47063167],[79.66729125],[70.25514267],[63.37818825],[38.83380157],[-7.55552003],[98.4995672],[150.22611809]
69,[619.54148762],[83.50938653],[127.03220783],[118.79947301],[60.49374161],[64.70035483],[19.53877376],[56.69513144],[88.77241861]
70,[369.77228665],[41.06741746],[52.80588018],[28.29931543],[92.61172542],[12.44154567],[-15.21820675],[88.82918992],[68.93541933]
71,[174.61973296],[36.05297098],[13.04697615],[65.18638331],[-0.39748873],[29.60562932],[-40.86615984],[23.11608364],[48.87533813]
72,[713.94476911],[100.07626707],[126.56580126],[93.13709916],[105.41840068],[114.57517959],[11.96213939],[89.44193066],[72.76795131]
73,[660.90263716],[101.93022958],[99.9902332],[75.64454551],[66.03611099],[99.37131295],[20.66143946],[81.46184588],[115.80691959]
74,[-546.28176722],[-86.44573454],[-52.58527075],[-38.43690639],[-76.88142478],[-65.5946178],[-119.79899337],[-71.95341228],[-34.5854073]
75,[751.2989812],[96.54469934],[117.28893256],[115.59462026],[127.53127819],[88.17981834],[17.22669689],[103.45767676],[85.47525886]
76,[269.67539092],[24.66324534],[49.04449661],[29.33340621],[28.23143456],[27.68948683],[-41.2891411],[103.49587142],[48.50659105]
77,[715.28943014],[124.13893441],[107.7643495],[101.3306733],[67.72139939],[74.38496256],[10.98655082],[87.90738333],[141.05517682]
78,[-230.73529796],[14.86582973],[-50.92781108],[-27.95869412],[-24.19052068],[-17.76736479],[-76.10992809],[2.69430376],[-51.3411127]
79,[680.49312949],[90.3828804],[111.4013316],[68.90529615],[80.20516841],[101.65425794],[16.06444782],[97.52523992],[114.35450725]
80,[509.78627112],[66.2241886],[37.43802882],[103.88899335],[51.01721454],[89.0721129],[-2.30184925],[89.45390228],[74.99367987]
81,[593.78892929],[96.89122135],[85.25560848],[90.70386617],[80.63420433],[57.2808659],[-2.21765867],[107.76519739],[77.47562434]
82,[575.35059031],[60.23753135],[57.98157753],[97.57972161],[160.19287614],[69.60439915],[2.02027649],[68.41322848],[59.32097955]
83,[672.37781499],[108.2042952],[95.11426047],[88.16796125],[84.10379424],[53.57920873],[8.63296459],[103.81919009],[130.75614043]
84,[653.69090321],[130.20351874],[97.90673745],[104.58870165],[119.01858562],[57.49235963],[-3.682411],[63.16915559],[84.99425553]
85,[674.53662946],[102.1715289],[104.53672126],[102.66539936],[77.00639641],[84.01956473],[8.89745698],[81.52948023],[113.71008158]
86,[641.25864061],[128.70461402],[121.06121881],[101.81297071],[47.40452316],[77.06327857],[11.4386651],[76.32374883],[77.44962141]
87,[240.61144455],[45.89419281],[47.84108625],[45.85619855],[34.32170718],[37.31876097],[-43.28006541],[55.80165831],[16.8579059]
88,[661.64457503],[118.58532219],[97.35565778],[55.04174859],[133.45936273],[54.27222314],[1.98407453],[113.45888802],[87.48729804]
89,[196.45457075],[34.28527609],[46.04830317],[45.89114827],[31.54331204],[-14.91938281],[-45.62038763],[24.20639349],[75.01990812]
90,[589.99188484],[110.70061648],[43.61708619],[114.70781464],[61.76486538],[60.35481833],[6.82484299],[128.79537594],[63.22646489]
91,[697.99597502],[121.48884178],[122.95083888],[130.07733802],[69.3092117],[96.37456668],[5.3967397],[39.70804976],[112.69038849]
92,[650.78348081],[166.71083201],[85.04854358],[109.01224334],[82.2106847],[49.91697024],[9.51582447],[81.83113565],[66.53724681]
93,[629.05565925],[102.75303391],[102.99913247],[82.94937811],[44.01258034],[74.74797894],[2.54596545],[130.47008542],[88.57750462]
94,[411.85735251],[42.68084884],[54.03487511],[76.71618513],[87.28799449],[113.20300885],[-26.32371868],[55.15937188],[9.0987869]
95,[397.8306743],[81.33164429],[70.6972949],[38.6198403],[49.8118021],[32.1710979],[-12.25804724],[30.17870411],[107.27833794]
96,[646.75309445],[87.25398557],[131.99589493],[114.97147486],[57.07010854],[72.7381864],[4.83743085],[106.0474364],[71.8385769]
97,[579.22970642],[99.73839064],[104.29886012],[45.34999668],[62.24257059],[88.9921377],[-0.26666085],[74.7446462],[104.12976534]
98,[231.41283605],[30.19910076],[51.64780948],[80.94907821],[-12.07763382],[31.05210207],[-44.82714724],[29.92643815],[64.54308845]
99,[701.37822061],[90.65771626],[82.5632664],[95.06722196],[77.81180379],[112.47602933],[3.30577618],[125.77902991],[113.71737678]
100,[682.65705573],[87.39223815],[100.27332255],[158.01112947],[80.39426344],[61.00128078],[5.99162452],[104.63385443],[84.9593424]
101,[692.90878668],[131.78300009],[93.3222219],[84.8499421],[89.58953664],[80.31005005],[17.82910736],[89.55072677],[105.67420176]
102,[710.56225341],[112.06739287],[73.70988856],[110.12551019],[109.08605592],[78.02772397],[5.01650926],[111.6655347],[110.86363793]
103,[731.21874082],[127.50012332],[105.39209861],[88.09505322],[93.24175841],[93.70088522],[8.1548114],[99.36676523],[115.7672454]
104,[23.67518928],[-14.52009505],[22.86140539],[75.1064956],[14.2397019],[10.00764204],[-68.29205504],[12.80215337],[-28.53005893]
105,[692.3784701],[104.34619189],[84.23989685],[81.26068525],[72.3893055],[132.9369624],[10.17773712],[94.54334309],[112.484348]
106,[675.50593603],[94.96065243],[51.25829108],[126.31963531],[76.5101743],[113.26627224],[18.51046815],[103.54892735],[91.13151518]
107,[586.66484203],[109.57674891],[104.70539241],[32.01585042],[84.34556158],[82.16258429],[1.72091601],[95.78190411],[76.35588431]
108,[649.5556795],[66.59090776],[107.8986393],[79.39574725],[110.828907],[117.40619795],[5.73983228],[77.91722731],[83.77822065]
109,[-255.22884026],[-30.5697087],[-22.54937435],[-27.95953503],[-9.56387941],[-7.27408501],[-108.55628068],[-17.96692485],[-30.78905223]
110,[686.36484811],[97.79316099],[118.91922696],[152.17527429],[65.27409807],[74.41054089],[2.94047355],[115.45997148],[59.39210189]
111,[688.3609956],[96.77366315],[102.81887911],[122.9265173],[75.62491275],[72.80252771],[10.71889323],[107.90491202],[98.79069032]
112,[666.90506088],[53.51224802],[91.85410746],[146.12641126],[109.29734385],[67.15789753],[15.70975989],[113.75355459],[69.4937383]
113,[295.07438027],[71.36874503],[41.84104548],[56.73265942],[64.7128595],[23.20276498],[-34.56637899],[27.29706407],[44.48562078]
114,[651.29526845],[112.41253649],[49.47070282],[94.09388063],[127.78648232],[83.99033385],[15.26813094],[78.72493694],[89.54826447]
115,[629.62820238],[83.9659865],[106.30719714],[98.13271523],[92.17394152],[41.29750681],[7.18078848],[114.69242687],[85.87763984]
116,[636.91170204],[62.76860096],[93.16551661],[149.91627309],[93.9931835],[84.35619718],[8.04264809],[77.5604179],[67.10886471]
117,[-95.51994261],[-16.68026334],[-9.02109374],[-6.77847006],[-15.00714911],[-11.06845993],[-17.04051777],[-11.0054386],[-8.91855006]
118,[692.65341475],[100.31031315],[76.09545217],[113.25059252],[69.62607932],[111.45499825],[18.05340143],[98.56618217],[105.29639575]
119,[603.57841641],[122.4089382],[110.8885816],[103.02362333],[44.16113163],[84.28431635],[-0.05675994],[87.75439716],[51.11418807]
120,[697.75782395],[119.32586929],[63.29962294],[104.17313271],[98.35362163],[123.73730059],[19.28560296],[64.20894769],[105.37372613]
121,[684.296102],[112.67415178],[73.10085999],[70.10290886],[99.65364766],[99.75401324],[14.3624525],[96.29095473],[118.35711324]
122,[668.00891687],[79.61641232],[123.41405125],[111.16991463],[79.29857292],[56.0573615],[13.96195462],[101.33762449],[103.15302514]
123,[-980.91469455],[-83.76477604],[-129.19584679],[-110.29879312],[-115.59561269],[-98.22575501],[-199.77151576],[-148.48121606],[-95.58117907]
124,[614.51844258],[91.29213831],[79.00461329],[89.48107053],[89.89512766],[108.09515411],[2.45069346],[83.45995207],[70.83969315]
125,[524.71506115],[94.51623693],[64.06107749],[73.25882865],[55.0389217],[110.67973708],[-15.49081325],[60.34102912],[82.31004344]
126,[670.5817918],[108.34993591],[100.48107779],[111.06966586],[111.67479083],[84.88429098],[8.38460103],[69.17468293],[76.56274648]
127,[727.22656472],[132.88393132],[92.90569786],[90.56855854],[93.82716622],[108.35361663],[17.33914842],[125.88350687],[65.46493885]
128,[740.97567926],[108.61888557],[84.23823353],[113.60727198],[94.92145991],[59.70626082],[9.47550687],[104.0725081],[166.33555248]
129,[33.02482598],[10.48484871],[-2.77489206],[-6.70377172],[18.16086759],[3.1598395],[-13.251829],[11.02932162],[12.92044133]
130,[113.3870202],[-4.66819783],[40.24280738],[59.3008084],[17.28021257],[12.2653556],[-50.0041787],[11.37954561],[27.59066717]
131,[713.13012042],[89.88758592],[72.50860621],[78.65598577],[128.14052752],[87.09870305],[6.11547194],[88.82182318],[161.90141684]
132,[741.43467728],[115.43729278],[145.25500681],[84.19585024],[120.32082849],[74.46354525],[9.8094716],[97.87545412],[94.07722799]
133,[-360.93848954],[-58.45012357],[1.53654048],[-49.41637757],[-74.47737739],[-30.57494342],[-107.72109028],[-54.30098142],[12.46586362]
134,[626.94494028],[103.65338946],[95.14526231],[123.22498748],[56.40795119],[48.09425128],[3.41599477],[107.336355],[89.66674879]
135,[689.59623564],[80.75321111],[133.65669698],[95.3867286],[52.81164513],[82.26229094],[12.72006116],[119.43231391],[112.57328781]
136,[290.0937626],[9.58774509],[58.85233363],[75.24130769],[40.31227269],[68.09922323],[-40.4699302],[42.01346817],[36.45734229]
137,[646.8613838],[75.62421932],[86.9731702],[116.79731003],[83.31584724],[80.96544273],[9.79501515],[89.69063951],[103.69973964]
138,[674.92024389],[122.24654154],[60.63403437],[87.57962972],[83.66576941],[57.43647904],[12.01744569],[133.94136291],[117.39898121]
139,[734.63478682],[136.05804425],[95.043969],[78.53066196],[130.56378033],[86.14482497],[10.23476051],[82.68252669],[115.37621911]
140,[558.85941811],[86.37022267],[112.9304166],[40.7365168],[57.66870973],[74.7531136],[6.61497824],[44.58270815],[135.20275232]
141,[717.72703051],[93.95912604],[92.82594126],[95.95090153],[94.9720522],[81.24564591],[18.29032283],[133.18239886],[107.30064188]
142,[685.46551803],[119.00380572],[76.62391319],[73.39475624],[51.00346945],[92.9055857],[2.41976384],[145.75871894],[124.35550495]
143,[712.05017107],[168.11931976],[64.81985317],[96.86964854],[76.66480367],[95.61077528],[2.47982372],[109.44752787],[98.03841906]
144,[30.23824407],[16.43202844],[-17.78410949],[26.56586428],[22.82279777],[35.93276256],[-78.47816464],[2.9841268],[21.76293836]
